無料<div class="hint">no charge; free</div>,むりょう,no charge; free,お <ruby>飲<rt>の</rt></ruby>み <ruby>物<rt>もの</rt></ruby>は <ruby>無料<rt>むりょう</rt></ruby>でございます。,Beverages are free of charge.,noun
どうせ<div class="hint">anyway</div>,どうせ,anyway,どうせ <ruby>間<rt>ま</rt></ruby>に <ruby>合<rt>あ</rt></ruby>わないならゆっくり <ruby>行<rt>い</rt></ruby>こう。,Let's go slowly as we won't make it on time anyway.,adverb
孫<div class="hint">grandchild</div>,まご,grandchild,<ruby>昨日<rt>きのう</rt></ruby>、 <ruby>孫<rt>まご</rt></ruby>が <ruby>生<rt>う</rt></ruby>まれました。,My grandchild was born yesterday.,noun
机<div class="hint">desk</div>,つくえ,desk,<ruby>新<rt>あたら</rt></ruby>しい <ruby>机<rt>つくえ</rt></ruby>を <ruby>買<rt>か</rt></ruby>ってもらいました。,They bought me a new desk.,noun
お釣り<div class="hint">change (of money)</div>,おつり,change (of money),<ruby>母<rt>はは</rt></ruby>はお <ruby>釣<rt>つ</rt></ruby>りを <ruby>確<rt>たし</rt></ruby>かめた。,My mother checked the change.,noun
鍵<div class="hint">key; lock</div>,かぎ,key; lock,<ruby>出<rt>で</rt></ruby>かけるときは <ruby>鍵<rt>かぎ</rt></ruby>を <ruby>掛<rt>か</rt></ruby>けてください。,Please lock the door when you leave.,noun
あれこれ<div class="hint">this and that; one thing or another</div>,あれこれ,this and that; one thing or another,<ruby>服<rt>ふく</rt></ruby>を <ruby>買<rt>か</rt></ruby>うのにあれこれ <ruby>迷<rt>まよ</rt></ruby>いました。,I couldn't decide what clothes to buy.,noun
寿司<div class="hint">sushi</div>,すし,sushi,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>寿司<rt>すし</rt></ruby>を <ruby>初<rt>はじ</rt></ruby>めて <ruby>食<rt>た</rt></ruby>べました。,She ate sushi for the first time.,noun
浴びる<div class="hint">take (a shower)</div>,あびる,take (a shower),<ruby>私<rt>わたし</rt></ruby>は <ruby>朝<rt>あさ</rt></ruby>、シャワーを <ruby>浴<rt>あ</rt></ruby>びます。,I take a shower in the morning.,verb
湯<div class="hint">hot water</div>,ゆ,hot water,お <ruby>風呂<rt>ふろ</rt></ruby>のお <ruby>湯<rt>ゆ</rt></ruby>が <ruby>一杯<rt>いっぱい</rt></ruby>です。,The bath is filled with hot water.,noun
洗濯<div class="hint">laundry; washing</div>,せんたく,laundry; washing,<ruby>一週<rt>いっしゅう</rt></ruby> <ruby>間<rt>かん</rt></ruby>、 <ruby>洗濯<rt>せんたく</rt></ruby>をしていない。,I haven't done the laundry for a week.,verbal noun
渇く<div class="hint">be thirsty</div>,かわく,be thirsty,<ruby>喉<rt>のど</rt></ruby>が <ruby>渇<rt>かわ</rt></ruby>きました。,I'm thirsty.,verb
とうとう<div class="hint">at last; finally</div>,とうとう,at last; finally,とうとう <ruby>引<rt>ひ</rt></ruby>っ <ruby>越<rt>こ</rt></ruby>しの <ruby>日<rt>ひ</rt></ruby>がきました。,At last; our moving day has come.,adverb
髪の毛<div class="hint">hair</div>,かみのけ,hair,<ruby>髪<rt>かみ</rt></ruby>の <ruby>毛<rt>け</rt></ruby>が <ruby>伸<rt>の</rt></ruby>びたね。,Your hair's grown long.,noun
髪<div class="hint">hair</div>,かみ,hair,<ruby>昨日<rt>きのう</rt></ruby>、 <ruby>髪<rt>かみ</rt></ruby>を <ruby>切<rt>き</rt></ruby>りました。,I had my hair cut yesterday.,noun
肩<div class="hint">shoulder</div>,かた,shoulder,<ruby>肩<rt>かた</rt></ruby>が <ruby>凝<rt>こ</rt></ruby>りました。,My shoulders are stiff.,noun
鼻<div class="hint">nose</div>,はな,nose,<ruby>鼻<rt>はな</rt></ruby>がかゆいです。,My nose is itchy.,noun
履く<div class="hint">put on (shoes); wear (pants; skirt)</div>,はく,put on (shoes); wear (pants; skirt),<ruby>彼女<rt>かのじょ</rt></ruby>はブーツを <ruby>履<rt>は</rt></ruby>いています。,She's wearing boots.,verb
さっぱり<div class="hint">completely not</div>,さっぱり,completely not,<ruby>彼女<rt>かのじょ</rt></ruby>の <ruby>言<rt>い</rt></ruby>っていることがさっぱり <ruby>分<rt>わ</rt></ruby>からないの。,I completely don't understand what she says.,adverb
戸<div class="hint">door</div>,と,door,<ruby>部屋<rt>へや</rt></ruby>の <ruby>戸<rt>と</rt></ruby>が <ruby>開<rt>あ</rt></ruby>いています。,The room's door is open.,noun
腕<div class="hint">arm</div>,うで,arm,<ruby>彼<rt>かれ</rt></ruby>の <ruby>腕<rt>うで</rt></ruby>は <ruby>太<rt>ふと</rt></ruby>い。,He has big arms.,noun
お菓子<div class="hint">sweets; snacks</div>,おかし,sweets; snacks,お <ruby>母<rt>かあ</rt></ruby>さんと <ruby>一緒<rt>いっしょ</rt></ruby>にお <ruby>菓子<rt>かし</rt></ruby>を <ruby>作<rt>つく</rt></ruby>りました。,I made sweets with my mother.,noun
財布<div class="hint">purse; wallet</div>,さいふ,purse; wallet,<ruby>会社<rt>かいしゃ</rt></ruby>に <ruby>財布<rt>さいふ</rt></ruby>を <ruby>忘<rt>わす</rt></ruby>れた。,I left my wallet at the office.,noun
飾る<div class="hint">decorate</div>,かざる,decorate,テーブルの <ruby>上<rt>うえ</rt></ruby>に <ruby>花<rt>はな</rt></ruby>を <ruby>飾<rt>かざ</rt></ruby>りました。,I decorated the table with flowers.,verb
ついで<div class="hint">on the way; to take the opportunity</div>,ついで,on the way; to take the opportunity,ついでだから <ruby>彼<rt>かれ</rt></ruby>も <ruby>呼<rt>よ</rt></ruby>ぼうよ。,Let's use this chance to invite him too.,noun
玄関<div class="hint">entrance; door</div>,げんかん,entrance; door,<ruby>玄関<rt>げんかん</rt></ruby>に <ruby>花<rt>はな</rt></ruby>を <ruby>飾<rt>かざ</rt></ruby>りました。,I decorated the entrance with flowers.,noun
眼鏡<div class="hint">glasses</div>,めがね,glasses,<ruby>彼<rt>かれ</rt></ruby>は <ruby>眼鏡<rt>めがね</rt></ruby>をかけています。,He's wearing glasses.,noun
眠い<div class="hint">sleepy</div>,ねむい,sleepy,<ruby>今日<rt>きょう</rt></ruby>はとても <ruby>眠<rt>ねむ</rt></ruby>いです。,I'm very sleepy today.,adjective
眠る<div class="hint">sleep</div>,ねむる,sleep,<ruby>昨日<rt>きのう</rt></ruby>は８ <ruby>時間<rt>じかん</rt></ruby> <ruby>眠<rt>ねむ</rt></ruby>りました。,I slept for eight hours yesterday.,verb
掛ける<div class="hint">hang; put on</div>,かける,hang; put on,<ruby>夫<rt>おっと</rt></ruby>の <ruby>服<rt>ふく</rt></ruby>をハンガーに <ruby>掛<rt>か</rt></ruby>けた。,I put my husband's clothes on a hanger.,verb
