揉む<div class="hint">rub; massage</div>,もむ,rub; massage,<ruby>肩<rt>かた</rt></ruby>を <ruby>揉<rt>も</rt></ruby>んでください。,Please massage my shoulders.,verb
ＯＫ<div class="hint">agreement; consent</div>,おーけー,agreement; consent,OK <ruby>僕<rt>ぼく</rt></ruby>に <ruby>任<rt>まか</rt></ruby>せてくれ。,OK. Leave it to me.,
兆<div class="hint">trillion</div>,ちょう,trillion,その <ruby>会社<rt>かいしゃ</rt></ruby>は<ruby>一 <ruby>兆<rt>ちょう</rt></ruby> <ruby>円<rt>えん</rt></ruby>の <ruby>売上<rt>うりあげ</rt></ruby>を <ruby>達成<rt>たっせい</rt></ruby>した。,The company achieved sales of one trillion yen.,
兆し<div class="hint">omen; sign</div>,きざし,omen; sign,<ruby>景気<rt>けいき</rt></ruby> <ruby>回復<rt>かいふく</rt></ruby>の <ruby>兆<rt>きざ</rt></ruby>しが <ruby>見<rt>み</rt></ruby>えている。,The signs of economic recovery can be seen.,
一時<div class="hint">time; while</div>,ひととき,time; while,<ruby>楽<rt>たの</rt></ruby>しい <ruby>一時<rt>ひととき</rt></ruby>をお <ruby>過<rt>す</rt></ruby>ごしください。,Please have a good time.,
時には<div class="hint">occasionally</div>,ときには,occasionally,<ruby>優<rt>やさ</rt></ruby>しい <ruby>母<rt>はは</rt></ruby>も <ruby>時<rt>とき</rt></ruby>には <ruby>怒<rt>おこ</rt></ruby>ります。,Kind mothers get angry at times; too.,
水分<div class="hint">moisture; water</div>,すいぶん,moisture; water,<ruby>風邪<rt>かぜ</rt></ruby>の <ruby>時<rt>とき</rt></ruby>は <ruby>水分<rt>すいぶん</rt></ruby>をたくさん <ruby>取<rt>と</rt></ruby>りなさい。,Be sure to drink plenty of water when you have a cold.,
五分<div class="hint">fifty percent; five percent</div>,ごぶ,fifty percent; five percent,その <ruby>作品<rt>さくひん</rt></ruby>はまだ<ruby>五 <ruby>分<rt>ふん</rt></ruby>の <ruby>出来<rt>でき</rt></ruby>だ。,The work is only half finished.,
何でも<div class="hint">anything; whatever</div>,なんでも,anything; whatever,<ruby>何<rt>なん</rt></ruby>でも <ruby>彼<rt>かれ</rt></ruby>は <ruby>町<rt>まち</rt></ruby>を <ruby>出<rt>で</rt></ruby>たらしい。,I heard that he has left town anyway.,
何とも<div class="hint">not ... at all</div>,なんとも,not ... at all,<ruby>何<rt>なん</rt></ruby>とも <ruby>困<rt>こま</rt></ruby>ったものだ。,This is very embarrassing.,
何かと<div class="hint">in various ways</div>,なにかと,in various ways,<ruby>最近<rt>さいきん</rt></ruby>は <ruby>何<rt>なに</rt></ruby>かと <ruby>忙<rt>いそが</rt></ruby>しいです。,I have been pretty busy recently.,
何ら<div class="hint">of any kind; whatever</div>,なんら,of any kind; whatever,この <ruby>企画<rt>きかく</rt></ruby>に <ruby>何<rt>なん</rt></ruby>ら <ruby>問題<rt>もんだい</rt></ruby>はありません。,There are no problems in this plan.,
ただ今<div class="hint">I'm home! soon; now</div>,ただいま,I'm home! soon; now,はいただ <ruby>今<rt>いま</rt></ruby> <ruby>参<rt>まい</rt></ruby>ります。,Yes; I am coming now.,
一行<div class="hint">group; party</div>,いっこう,group; party,その <ruby>一行<rt>いっこう</rt></ruby>はローマで 2 <ruby>泊<rt>はく</rt></ruby>した。,The group stayed in Rome for two nights.,
大分<div class="hint">greatly; very</div>,だいぶん,greatly; very,<ruby>京都<rt>きょうと</rt></ruby> <ruby>旅行<rt>りょこう</rt></ruby>で <ruby>貯金<rt>ちょきん</rt></ruby>を <ruby>大分<rt>だいぶん</rt></ruby> <ruby>使<rt>つか</rt></ruby>ってしまいました。,I used quite a bit of my savings on the trip to Kyoto.,
大まか<div class="hint">general; rough</div>,おおまか,general; rough,<ruby>大<rt>おお</rt></ruby>まかに <ruby>状況<rt>じょうきょう</rt></ruby>を <ruby>話<rt>はな</rt></ruby>して <ruby>下<rt>くだ</rt></ruby>さい。,Give me an outline of the situation.,
リスト<div class="hint">list</div>,りすと,list,これが <ruby>出席<rt>しゅっせき</rt></ruby> <ruby>者<rt>しゃ</rt></ruby>のリストです。,This is a list of the people present.,
小火<div class="hint">small fire</div>,ぼや,small fire,<ruby>近<rt>ちか</rt></ruby>くでぼやがあったらしい。,Apparently there was a small fire in the vicinity.,
少なからず<div class="hint">not a little</div>,すくなからず,not a little,<ruby>人間<rt>にんげん</rt></ruby> <ruby>誰<rt>だれ</rt></ruby>でも <ruby>少<rt>すく</rt></ruby>なからず <ruby>悪<rt>わる</rt></ruby>いところはあります。,All people whoever they are have a number of faults.,
多大<div class="hint">great; serious</div>,ただい,great; serious,<ruby>彼<rt>かれ</rt></ruby>はその <ruby>事業<rt>じぎょう</rt></ruby>に <ruby>多大<rt>ただい</rt></ruby>な <ruby>貢献<rt>こうけん</rt></ruby>をした。,He made a major contribution to the business.,
上がり<div class="hint">completion; rise</div>,あがり,completion; rise,<ruby>近頃<rt>ちかごろ</rt></ruby> <ruby>階段<rt>かいだん</rt></ruby>の <ruby>上<rt>あ</rt></ruby>がりがきつくなりました。,Recently; it's becoming difficult for me to go up stairs.,
下<div class="hint">lower part; lower stream</div>,しも,lower part; lower stream,この <ruby>川<rt>かわ</rt></ruby>の <ruby>下<rt>しも</rt></ruby>の <ruby>方<rt>ほう</rt></ruby>には <ruby>鯉<rt>こい</rt></ruby>がいます。,There are some carp downstream in this river.,
下がり<div class="hint">decline</div>,さがり,decline,あの <ruby>国<rt>くに</rt></ruby>は <ruby>物価<rt>ぶっか</rt></ruby>の <ruby>上<rt>あ</rt></ruby>がり <ruby>下<rt>さ</rt></ruby>がりが <ruby>激<rt>はげ</rt></ruby>しい。,Prices rise and fall dramatically in that country.,
大方<div class="hint">almost; probably</div>,おおかた,almost; probably,<ruby>大方<rt>おおかた</rt></ruby>の <ruby>人<rt>ひと</rt></ruby>がこの <ruby>案<rt>あん</rt></ruby>に <ruby>賛成<rt>さんせい</rt></ruby>している。,Most people agree with this idea.,
万人<div class="hint">all people</div>,ばんにん,all people,この <ruby>曲<rt>きょく</rt></ruby>は <ruby>万<rt>ばん</rt></ruby> <ruby>人<rt>にん</rt></ruby>に <ruby>受け<ruby>入<rt>うけい</rt></ruby>れられる。,This tune is a hit with everyone.,
入金<div class="hint">receipt of money</div>,にゅうきん,receipt of money,<ruby>今週<rt>こんしゅう</rt></ruby> <ruby>中<rt>ちゅう</rt></ruby>に <ruby>授業<rt>じゅぎょう</rt></ruby> <ruby>料<rt>りょう</rt></ruby>を <ruby>入金<rt>にゅうきん</rt></ruby>してください。,Please pay the tuition fees this week.,
出<div class="hint">coming from; flow; rising</div>,で,coming from; flow; rising,<ruby>彼<rt>かれ</rt></ruby>は <ruby>一流<rt>いちりゅう</rt></ruby> <ruby>大学<rt>だいがく</rt></ruby>の <ruby>出<rt>しゅつ</rt></ruby>だ。,He came from one of the top universities.,
お出で<div class="hint">coming; going</div>,おいで,coming; going,お <ruby>出<rt>い</rt></ruby>でをお <ruby>待<rt>ま</rt></ruby>ちしておりました。,We were expecting your visit.,
本体<div class="hint">main part; substance</div>,ほんたい,main part; substance,エンジン <ruby>本体<rt>ほんたい</rt></ruby>を <ruby>取り<ruby>替<rt>とりか</rt></ruby>えた。,The main body of the engine was changed.,
人体<div class="hint">human body</div>,じんたい,human body,<ruby>授業<rt>じゅぎょう</rt></ruby>で <ruby>人体<rt>じんたい</rt></ruby>の <ruby>仕組<rt>しく</rt></ruby>みについて <ruby>学<rt>まな</rt></ruby>んだ。,We studied the workings of the human body in class.,
一目<div class="hint">a glimpse; a look</div>,ひとめ,a glimpse; a look,<ruby>彼<rt>かれ</rt></ruby>を <ruby>一目<rt>ひとめ</rt></ruby> <ruby>見<rt>み</rt></ruby>てみたいです。,I'd like to see him just once.,
メッセージ<div class="hint">message</div>,めっせーじ,message,この <ruby>歌<rt>うた</rt></ruby>には <ruby>深<rt>ふか</rt></ruby>いメッセージがこめられている。,This song contains a deep message.,
人目<div class="hint">attention; public notice</div>,ひとめ,attention; public notice,ここは <ruby>人目<rt>ひとめ</rt></ruby>につくので <ruby>他<rt>ほか</rt></ruby>へ <ruby>行<rt>い</rt></ruby>きましょう。,Let's go somewhere else since we'll be recognized here.,
入手<div class="hint">obtaining</div>,にゅうしゅ,obtaining,<ruby>面白<rt>おもしろ</rt></ruby>い <ruby>情報<rt>じょうほう</rt></ruby>を <ruby>入手<rt>にゅうしゅ</rt></ruby>しました。,I got some interesting information.,
下手<div class="hint">humble position</div>,したて,humble position,こちらが <ruby>下手<rt>したて</rt></ruby>に <ruby>出<rt>で</rt></ruby>れば <ruby>向<rt>む</rt></ruby>こうが <ruby>付け<ruby>上<rt>つけあ</rt></ruby>がりますよ。,If we take a modest approach; the other party will be flattered.,
一足<div class="hint">a step</div>,ひとあし,a step,<ruby>一足<rt>ひとあし</rt></ruby>お <ruby>先<rt>さき</rt></ruby>に <ruby>失礼<rt>しつれい</rt></ruby>します。,Excuse me for leaving before you.,
