得,dé,get; obtain; win; earn,他得到了礼物。,Tā dédàole lǐwù.,He received a gift.
死,sǐ,to die; dead; fixed; impassible; extremely,这条鱼死了。,Zhè tiáo yú sǐ le.,This fish has died.
干,gàn,to work; do; manage; tree trunk (Kangxi radical 51),你在干什么？,Nǐ zài gàn shénme?,What are you doing?
而,ér,and; but; yet; while (Kangxi radical 126),她年轻而美丽。,Tā niánqīng ér měilì.,She's young and beautiful.
等,děng,to wait; rank; equal; etc.,大家在等公车。,Dàjiā zài děng gōngchē.,People are waiting for the bus.
当,dāng,should; act as; work as; manage; match; (sound of bells),她想当老师。,Tā xiǎng dāng lǎoshī.,She wants to become a teacher.
所有,suǒyǒu,all; to have; to possess,所有人都笑了。,Suǒyǒu rén dōu xiào le.,Everyone laughed.
也许,yěxǔ,perhaps; probably; maybe,我也许周末去你那儿。,Wǒ yěxǔ zhōumò qù nǐ nàr.,I might go to your place over the weekend.
行,xíng,go; ok; alright; capable,行，就这么办！,Xíng jiù zhème bàn!,OK let's do it this way!
不过,bùguò,but; however; only,我吃完了，不过还是很饿。,Wǒ chīwán le búguò háishi hěn è.,I finished eating but I'm still hungry.
发生,fāshēng,happen; occur; take place,发生了什么事？,Fāshēngle shénme shì?,What happened?
一切,yị̄qiè,all; every; everything,一切都要听我的。,Yíqiè dōu yào tīng wǒ de.,Everyone must listen to me regarding all matters.
抱,bào,to hold; to hug; carry in one's arms; to cradle,他们紧紧地抱在一起。,Tāmen jǐnjǐn de bào zài yīqǐ.,They hug each other tightly.
抱歉,bàoqiàn,be sorry; feel apologetic; to regret,,,
感觉,gǎnjué,to feel; become aware of; feeling,我突然有种奇怪的感觉。,Wǒ tūrán yǒu zhǒng qíguài de gǎnjué.,I suddenly had a strange feeling.
肯定,kěndìng,sure; definite; affirm; approve,我肯定他在说谎！,Wǒ kěndìng tā zài shuōhuǎng!,I'm sure he was lying!
棒,bàng,stick; club; good; excellent,我想打棒球。,Wǒ xiǎng dǎ bàngqiú.,I want to play baseball.
以,yǐ,to use; according to; so as to; for; by,他以务农为生。,Tā yǐ wùnóng wéishēng.,He makes a living by farming.
以为,yǐwéi,think (mistakenly); consider (that); believe,我以为你已经回家了。,Wǒ yǐwéi nǐ yǐjīng huíjiā le.,I thought you had already gone home.
掉,diào,to drop; to fall,树叶掉在地上。,Shùyè diào zài dìshang.,The tree leaves have fallen to the ground.
生活,shēnghuó,life; livelihood; to live,他们的生活很幸福。,Tāmen de shēnghuó hěn xìngfú.,They have happy lives.
之,zhī,(literary equivalent to 的); (pronoun); of,长城是七大奇迹之一。,Chángchéng shì qī dà qíjì zhī yī.,The Great Wall is one of the seven wonders of the world.
任何,rènhé,any; whatever; whichever,我想去任何地方。,Wǒ xiǎng qù rènhé dìfang.,I want to go somewhere.
与,yǔ,(formal) and; to give; together with; participate; final particle expressing doubt or surprise,他与我同龄。,Tā yǔ wǒ tónglíng.,He and I are the same age.
弄,nòng,do; manage; to handle; make,那个小朋友在弄什么？,Nàge xiǎopéngyou zài nòng shénme?,What's that small child doing?
却,què,but; yet; however,爸爸安慰她，她却不开心。,Bàba ānwèi tā tā què bù kāixīn.,Although her father comforted her she was still unhappy.
继续,jìxù,to continue; to go on; to proceed,请继续说。,Qǐng jìxù shuō.,Please keep speaking.
够,gòu,enough; to reach,我已经吃够了。,Wǒ yǐjing chīgòu le.,I've had enough.
父亲,fùqin,father,这是我的父亲。,Zhè shì wǒ de fùqin.,This is my father.
完全,wánquán,complete; whole; totally,天完全黑了。,Tiān wánquán hēi le.,The sky turned completely dark.
可是,kěshì,but; however,下雨了，可是我还是要出门。,Xiàyǔ le kěshì wǒ háishi yào chūmén.,Even though it's raining I still have to go out.
谈,tán,to talk; to chat; discuss,他们在谈什么？,Tāmen zài tán shénme?,What are they talking about?
好像,hǎoxiàng,as if; seem to be,天好像要下雨了。,Tiān hǎoxiàng yào xiàyǔ le.,It seems that it it is going to rain.
警察,jǐngchá,police,警察设了分界线。,Jǐngchá shèle fēnjièxiàn.,The police put up a cordon.
场,chǎng,courtyard; place; field; (mw for games performances etc.),球场上划有白线。,Qiúchǎng shàng huà yǒu bái xiàn.,There are while lines drawn on the field.
刚,gāng,just (indicating the immediate past); recently; firm,午饭才刚开始。,Wǔfàn cái gāng kāishǐ.,Lunch has just started.
呀,ya,ah; oh; (used for 啊 after words ending with a e i o or ü),世界真大呀！,Shìjiè zhēn dà ya!,The world is really big!
