嗯,ń ň ǹ ńg ňg ǹg,interjection expressing what? huh? hmm? why? ok etc.,嗯，这个方案很好！,Ńg zhège fāng'àn hěn hǎo!,Hmm this is a very good plan.
杀,shā,to kill; to murder,他在杀一只鸡。,Tā zài shā yì zhī jī.,He's slaughtering a chicken.
所,suǒ,place; that which; (mw for houses buildings),这是男厕所。,Zhè shì nán cèsuǒ.,This is the men's toilet.
正,zhèng,straight; currently; correct; just (right); pure; precisely,我们正在开会。,Wǒmen zhèng zài kāihuì.,We're in a meeting right now.
搞,gǎo,do; make; be engaged in,赵 先生 的 样子 很 搞笑。,Zhào xiānsheng de yàngzi hěn gǎoxiào.,Mr. Zhao has a funny appearance.
亲爱,qīn'ài,beloved; Dear ... (a way of starting a letter lovers intimate friends or close relatives),,,
宝贝,bǎobèi,treasure; precious things; darling; baby,孩子是妈妈的宝贝。,Háizi shì māma de bǎobèi.,Children are their mothers' treasures.
枪,qiāng,gun; spear,我有一把手枪。,Wǒ yǒu yī bǎ shǒuqiāng.,I've got a pistol.
如何,rúhé,how; what; what way,他不知如何解决难题。,Tā bùzhī rúhé jiějué nántí.,He doesn't know how to solve this problem.
女士,nǚshì,lady; madam,这位年长的女士是我的奶奶。,Zhèi wèi niánzhǎng de nǚshì shì wǒ de nǎinai.,This elderly woman is my grandmother.
根,gēn,root; base; (mw for long slender objects),我想买一根皮带。,Wǒ xiǎng mǎi yī gēn pídài.,I want to buy a leather belt.
根本,gēnběn,root; essence; fundamental; basic; (not) at all; simply,宪法是国家的根本大法。,Xiànfǎ shì guójiā de gēnběn dà fǎ.,The Constitution is the fundamental law of a country.
确定,quèdìng,definite; certain; fixed; determine,我确定我们已经迷路了。,Wǒ quèdìng wǒmen yǐjing mílù le.,I'm sure we're lost.
兄弟,xiōngdì,brothers; younger brother; brethren,他们是兄弟。,Tāmen shì xiōngdì.,They are brothers.
抓,zhuā,to carry in your hand holding strongly; catch; arrest,他用力地抓住绳子。,Tā yònglì de zhuāzhù shéngzi.,He grasps the rope tightly.
或许,huòxǔ,perhaps; maybe,,,
救,jiù,to save (life); to assist; to rescue,他们是救火英雄。,Tāmen shì jiùhuǒ yīngxióng.,They're fire-fighting heroes.
唯一,wéiyī,only; sole,甜食是她唯一的嗜好。,Tiánshí shì tā wéiyī de shìhào.,Sweet foods are her only indulgence.
表现,biǎoxiàn,to show; to show off; display; performance,大家的表现都很优秀。,Dàjiā de biǎoxiàn dōu hěn yōuxiù.,Everyone's performance was excellent.
拍,pāi,to clap; to pat; to shoot (pictures a film); send (a telegram),他拍了大量的照片。,Tā pāile dàliàng de zhàopiàn.,He has taken a large number of photos.
呆,dāi,stupid; foolish; blank; dumbstruck; to stay,我一个人呆在家里。,Wǒ yī gè rén dāi zài jiāli.,I'm at home alone.
绝对,juéduì,absolute; definite,这件事情绝对要保密。,Zhèijiàn shìqing juéduì yào bǎomì.,This matter must absolutely be kept confidential.
整个,zhěnggè,whole; entire; total,整个晚上我都没睡。,Zhěnggè wǎnshang wǒ dōu méi shuì.,I didn't sleep the whole night.
处理,chǔlǐ,deal with; to process; sell at a discount; to treat (by a special process),工厂在对商品进行加工处理。,Gōngchǎng zài duì shāngpǐn jìnxíng jiāgōng chǔlǐ.,The factory is processing the goods.
行动,xíngdòng,to move; get around; action,政府展开抗灾行动。,Zhèngfǔ zhǎnkāi kàngzāi xíngdòng.,The government is starting operations to combat the disaster.
失去,shīqù,to lose (time an opportunity work etc.),那个人失去平衡摔倒了。,Nàge rén shīqù pínghéng shuāidǎo le.,He lost his balance and fell down.
派,pài,dispatch; (mw for political groups; schools of thought; etc.),我被派到贫困地区工作。,Wǒ bèi pàidào pínkùn dìqū gōngzuò.,I was sent to work in poor areas.
靠,kào,depend on; lean on; near; to trust,请大家靠右走。,Qǐng dàjiā kào yòu zǒu.,Please walk on the right side.
作为,zuòwéi,regard as; act as; action; deed,作为父母应该关心孩子。,Zuòwéi fùmǔ yīnggāi guānxīn háizi.,As parents they should care for their children.
曾经,céngjīng,once; (refers to something that happened previously),古代的皇帝曾经住在这里。,Gǔdài de huángdì céngjīng zhù zài zhèli.,The ancient emperors lived here.
总统,zǒngtǒng,president (of a country),总统是美国政府的首脑。,Zǒngtǒng shì Měiguó zhèngfǔ de shǒunǎo.,The president is the head of the U.S. government.
伤害,shānghài,injure; to harm; wound,毒品伤害身体。,Dúpǐn shānghài shēntǐ.,Drugs harm one's health.
控制,kòngzhì,to control,火灾已经得到了控制。,Huǒzāi yǐjing dédàole kòngzhì.,The fire is under control.
首,shǒu,head; chief; first; (mw for poems and songs) (Kangxi radical 185),北京是中国的首都。,Běijīng shì Zhōngguó de shǒudū.,Beijing is China's capital.
偷,tōu,steal; pilfer,我 的 手表 被 偷了。,Wǒ de shǒubiǎo bèi tōule.,My watch was stolen.
哈,hā,exhale; sip; (sound of laughter),她打了一个哈欠。,Tā dǎle yī gè hāqian.,She yawned.
糟糕,zāogāo,terrible; too bad; how terrible; what bad luck; what a mess,如果下雨就糟糕了。,Rúguǒ xiàyǔ jiù zāogāo le.,It'll be awful if it rains.
保持,bǎochí,to keep; maintain; to hold,请保持房间清洁。,Qǐng bǎochí fángjiān qīngjié.,Please keep the room clean.
证据,zhèngjù,evidence; proof; testimony,证据证明他犯罪。,Zhèngjù zhèngmíng tā fànzuì.,The evidence proved he committed a crime.
事实,shìshí,fact; in fact,事实不会随着时间改变。,Shìshí bú huì suízhe shíjiān gǎibiàn.,Facts don't change over time.
家庭,jiātíng,family; household,这是一个和睦的家庭。,Zhè shì yí gè hémù de jiātíng.,This is a harmonious home.
装,zhuāng,to load; dress up; pretend; clothing; to install,办公室里安装了电话。,Bàngōngshì lǐ ānzhuāngle diànhuà.,A phone has been installed in the office.
