鬘<div class="hint">toupee; wig</div>,かつら,toupee; wig,<ruby>彼<rt>かれ</rt></ruby>はかつらをつけているらしい。,He seems to be wearing a wig.,
あたかも<div class="hint">as if; like</div>,あたかも,as if; like,<ruby>彼<rt>かれ</rt></ruby>は <ruby>部下<rt>ぶか</rt></ruby>をあたかも <ruby>召<rt>め</rt></ruby>し <ruby>使<rt>つか</rt></ruby>いのように <ruby>扱<rt>あつか</rt></ruby>う。,He always treats his subordinates as if they were servants.,
一円<div class="hint">throughout the region</div>,いちえん,throughout the region,<ruby>関東<rt>かんとう</rt></ruby><ruby>一 <ruby>円<rt>えん</rt></ruby>に <ruby>雪<rt>ゆき</rt></ruby>が <ruby>降<rt>ふ</rt></ruby>った。,It snowed all over Kanto.,
日に日に<div class="hint">day by day; every day</div>,ひにひに,day by day; every day,<ruby>娘<rt>むすめ</rt></ruby>は <ruby>日に<ruby>日<rt>ひにひ</rt></ruby>に <ruby>大<rt>おお</rt></ruby>きくなっています。,Our daughter is getting bigger day by day.,
何分<div class="hint">anyway; please</div>,なにぶん,anyway; please,<ruby>彼<rt>かれ</rt></ruby>は <ruby>何分<rt>なにぶん</rt></ruby>まだ <ruby>若<rt>わか</rt></ruby>いので <ruby>許<rt>ゆる</rt></ruby>してやってください。,He is still young so please forgive him.,
先だって<div class="hint">lately; the other day</div>,せんだって,lately; the other day,<ruby>先<rt>せん</rt></ruby>だって <ruby>京都<rt>きょうと</rt></ruby>に <ruby>行<rt>い</rt></ruby>ってきました。,I went ahead to Kyoto.,
よそ行き<div class="hint">best behavior; formal; going out</div>,よそゆき,best behavior; formal; going out,<ruby>母<rt>はは</rt></ruby>がよそ <ruby>行<rt>ゆ</rt></ruby>き <ruby>用<rt>よう</rt></ruby>の <ruby>服<rt>ふく</rt></ruby>を <ruby>買<rt>か</rt></ruby>ってくれた。,My mother bought some nice dress clothes for me.,
大ざっぱ<div class="hint">rough; sketchy</div>,おおざっぱ,rough; sketchy,<ruby>大<rt>おお</rt></ruby>ざっぱでいいから <ruby>教<rt>おし</rt></ruby>えて。,Tell me roughly about it.,
下す<div class="hint">bestow; give a command</div>,くだす,bestow; give a command,<ruby>社長<rt>しゃちょう</rt></ruby>は <ruby>重要<rt>じゅうよう</rt></ruby>な <ruby>決断<rt>けつだん</rt></ruby>を <ruby>下<rt>くだ</rt></ruby>した。,The president handed down an important resolution.,
人だかり<div class="hint">crowd; throng</div>,ひとだかり,crowd; throng,<ruby>道<rt>みち</rt></ruby>に <ruby>人<rt>ひと</rt></ruby>だかりができている。,There is a crowd gathering on the street.,
ビスケット<div class="hint">biscuit; cookie</div>,びすけっと,biscuit; cookie,<ruby>子供<rt>こども</rt></ruby>にビスケットをあげました。,I gave a cookie to the child.,
水入らず<div class="hint">by themselves; with no one else</div>,みずいらず,by themselves; with no one else,<ruby>夫婦<rt>ふうふ</rt></ruby> <ruby>水入<rt>みずい</rt></ruby>らずで <ruby>旅行<rt>りょこう</rt></ruby>に <ruby>行<rt>い</rt></ruby>った。,The couple went on a trip; just the two of them.,
力む<div class="hint">strain; swagger</div>,りきむ,strain; swagger,<ruby>力<rt>りき</rt></ruby>まないでリラックスしましょう。,Let's relax and not overdo it.,
口先<div class="hint">lip service; lips</div>,くちさき,lip service; lips,<ruby>口先<rt>くちさき</rt></ruby>だけの <ruby>同情<rt>どうじょう</rt></ruby>は <ruby>聞<rt>き</rt></ruby>きたくありません。,I do not want to hear empty words of sympathy.,
口出し<div class="hint">interference</div>,くちだし,interference,うちのことに <ruby>口出<rt>くちだ</rt></ruby>ししないでください。,Please don't stick your nose in my business.,
口々に<div class="hint">variously</div>,くちぐちに,variously,みんな <ruby>口々<rt>くちぐち</rt></ruby>に <ruby>意見<rt>いけん</rt></ruby>を <ruby>言<rt>い</rt></ruby>った。,Everyone gave their own opinions.,
口ごもる<div class="hint">mumble</div>,くちごもる,mumble,<ruby>彼<rt>かれ</rt></ruby>は <ruby>厳<rt>きび</rt></ruby>しく <ruby>質問<rt>しつもん</rt></ruby>されて <ruby>口<rt>くち</rt></ruby>ごもった。,He hemmed and hawed when he was questioned harshly.,
土手<div class="hint">bank; embankment</div>,どて,bank; embankment,<ruby>晴<rt>は</rt></ruby>れた <ruby>日<rt>ひ</rt></ruby>はよく <ruby>土手<rt>どて</rt></ruby>を <ruby>散歩<rt>さんぽ</rt></ruby>します。,I often stroll along the bank on sunny days.,
手分け<div class="hint">division; split</div>,てわけ,division; split,みんなで <ruby>手分<rt>てわ</rt></ruby>けして <ruby>掃除<rt>そうじ</rt></ruby>をしました。,We divided the cleaning work between everyone.,
足る<div class="hint">get by; suffice</div>,たる,get by; suffice,あの <ruby>映画<rt>えいが</rt></ruby>は <ruby>見<rt>み</rt></ruby>るに <ruby>足<rt>た</rt></ruby>らない。,That movie is not worth seeing.,
がっちり<div class="hint">tightly</div>,がっちり,tightly,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>彼<rt>かれ</rt></ruby>の <ruby>心<rt>こころ</rt></ruby>をがっちりつかんだ。,She captured his heart.,
土足<div class="hint">wearing shoes</div>,どそく,wearing shoes,ここに <ruby>土足<rt>どそく</rt></ruby>で <ruby>入<rt>はい</rt></ruby>らないでください。,Please do not enter wearing shoes.,
供える<div class="hint">offer</div>,そなえる,offer,お <ruby>墓<rt>はか</rt></ruby>に <ruby>花<rt>はな</rt></ruby>を <ruby>供<rt>そな</rt></ruby>えました。,I offered flowers at the grave.,
好き好き<div class="hint">a matter of taste</div>,すきずき,a matter of taste,どちらを <ruby>選<rt>えら</rt></ruby>ぼうと <ruby>人<rt>ひと</rt></ruby> <ruby>好<rt>す</rt></ruby>き <ruby>好<rt>す</rt></ruby>きです。,Whichever you choose; it is a matter of personal taste.,
耳元<div class="hint">close to one's ears</div>,みみもと,close to one's ears,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>耳元<rt>みみもと</rt></ruby>で <ruby>囁<rt>ささや</rt></ruby>いた。,She whispered in my ear.,
外気<div class="hint">open air</div>,がいき,open air,<ruby>車<rt>くるま</rt></ruby>の <ruby>窓<rt>まど</rt></ruby>を <ruby>開<rt>あ</rt></ruby>けると <ruby>外気<rt>がいき</rt></ruby>は <ruby>冷<rt>つめ</rt></ruby>たかった。,When we opened the car window the air outside was cold.,
内気<div class="hint">bashful; shy</div>,うちき,bashful; shy,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>内気<rt>うちき</rt></ruby>な <ruby>人<rt>ひと</rt></ruby>です。,She is a shy person.,
青ざめる<div class="hint">become pale</div>,あおざめる,become pale,<ruby>彼<rt>かれ</rt></ruby>の <ruby>顔<rt>かお</rt></ruby>はショックで <ruby>青<rt>あお</rt></ruby>ざめた。,His face went white with shock.,
明くる日<div class="hint">the following day</div>,あくるひ,the following day,<ruby>締切<rt>しめきり</rt></ruby>の <ruby>明くる<ruby>日<rt>あくるひ</rt></ruby>はいつも <ruby>疲<rt>つか</rt></ruby>れている。,I always feel tired on the day following a deadline.,
閉口<div class="hint">annoyance; dumbfoundedness</div>,へいこう,annoyance; dumbfoundedness,<ruby>店員<rt>てんいん</rt></ruby>のあまりのひどい <ruby>態度<rt>たいど</rt></ruby>に <ruby>閉口<rt>へいこう</rt></ruby>してしまった。,I was stunned by the appalling attitude of the shop clerk.,
